movie_img,movie_name,movie_name_e,movie_director,movie_actor,movie_cate,movie_age,movie_date,movie_content
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81719/81719_185.jpg,필그리미지,Pilgrimage,브랜든 멀다우니,"톰 홀랜드,존 번탈,리차드 아미티지","장르 : 액션, 어드벤처","미정, 95분, 아일랜드",,"
                십자군 전쟁이 한창이던 때 아일랜드의 한 수도원에서는 성물을 지키고 있었다.,
교황은 십자군전쟁에서 승리하기 위해 이를 로마로 들고 오기를 원했고,,
로마에서 온 수도사가 아일랜드에서 성물을 지켜왔던 “디아뮈드”(톰 홀랜드) 와 “벙어리”(존 번탈), 수도사들은 함께 로마로 향한다.,
성물을 가지고 로마로 가는 도중에, 이를 노리는 자인 ”레이몬드”(리차드 아미티지)의 일행이 나타나 죽을 위협에 처하게 되는데…,
과연 이 수도사들은 성물을 과연 무사히 지켜내고, 로마까지 갈 수 있을 것인가…?,
 
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81715/81715_185.jpg,오늘도 평화로운,Super Margin,백승기,손이용, / 배우 : ,"15세 이상, 90분, 한국",개봉 : ,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81770/81770_185.jpg,스트롱거,Stronger,데이빗 고든 그린,"제이크 질렌할,타티아나 마슬라니,클랜시 브라운",장르 : 드라마,"15세 이상, 119분, 미국",,"
                헤어짐과 만남을 반복하지만 그의 인생에서 놓칠 수 없는 연인 ‘에린'의 마음을 돌리기 위해 ‘제프’는 그녀가 뛰는 마라톤 대회 현장으로 향한다. '에린'을 응원하는 문구가 적힌 종이를 흔들고 그녀를 향해 웃는 순간, 테러범에 의해 터진 폭탄으로 '제프'는 두 다리를 잃고 만다.
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81694/81694_185.jpg,샤잠!,SHAZAM!,데이비드 F. 샌드버그,"제커리 리바이,애셔 앤젤",장르 : 액션,"12세 이상, 132분, 미국",,"
                ,
,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81723/81723_185.jpg,키코리키-시간여행,Kikoriki: Deja Vu,데니스 체르노프,"이경태,이상현,김정훈,이인석,신한호,안현서",장르 : 애니메이션,"전체, 78분, 러시아",,"
                ,

,

,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81744/81744_185.jpg,유랑지구,The Wandering Earth,곽범,"굴초소,오경,조금맥",장르 : SF,"12세 이상, 125분, 중국",,"
                ,
,
 ,
가까운 미래, 태양계 소멸 위기를 맞은,
지구는 영하 70도의 이상 기후와 함께,
목성과의 충돌이라는 대재앙에 직면한다.,
 ,
그러자, 전 세계 연합정부는,
지구 자체를 태양계 밖으로 이동시키기 위한,
범우주적 인류이민계획을 세우는데…,
 ,
,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81759/81759_185.jpg,걸캅스,,정다원,"라미란,이성경,윤상현,최수영", / 배우 : ,"15세 이상, 107분, 한국",개봉 : ,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81746/81746_185.jpg,똑딱똑딱 마법의 시계나라,The Angel in the Clock,미구엘 우리에가스,"강은애,김보나,박성영,이창민,서반석,고구인,이다은,최정윤",장르 : 애니메이션,"전체, 80분, 멕시코",,"
                ,
 ,
,
 ,
고장난 시계를 고치려고 엄마를 따라 시계수리점을 찾은 애니는,
그곳에서 소원을 이뤄주는 마법의 시계 바늘을 발견한다.,
그날 밤, 애니는 늘 아프고 약한 자신의 모습이 싫어,
시간을 멈추고 싶다는 소원을 빌고,
마법의 시계나라로 빠져든다.,
하지만 어둠의 지배자 ‘다크’는 애니를 이용해,
영원히 시간을 멈추고 시계나라를 차지할 음모를 꾸미는데…,
세상의 끝에 사는 ""시간의 제왕""을 찾아,
멈춘 시간을 다시 움직여야만 시계왕국을 구하고 집으로 돌아갈 수 있는 애니.,
수호천사 ‘엔젤’과 바늘요정 ‘여기’와 ‘오늘’,
그리고 태엽시계 정령 ‘킹베어’, 캡틴 ‘클락’과 함께,
애니의 신비하고 환상적인 마법의 시계나라 대 모험이 시작된다!
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81764/81764_185.jpg,몬스터 랜드,Zombillenium,"아르튀르 드 팽,알렉시스 두코드","이창민,고구인,박성영,서반석,이다은",장르 : 애니메이션,"전체, 74분, 프랑스",,"
                ,
,
좀비, 뱀파이어, 유령, 늑대인간, 마녀 등 다양한 괴물들을 고용하여 운영중인 ‘몬스터 랜드’에,
어느 날 안전 담당 공무원 엑토르가 나타나 규정을 어겼다며 경영난을 겪고 있는 이곳을 폐쇄하려 하자,,
뱀파이어 매니저 프랑시스는 그를 좀비로 만든다.,
졸지에 외동 딸 루시와 생이별을 하게 된 엑토르는 다시 딸과 만날 수 있을까?,
 
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81747/81747_185.jpg,프렌즈-둥지탈출,Manou the Swift,"안드레아 블록,크리스티안 하스","케이트 윈슬렛,윌렘 데포",장르 : 애니메이션,"전체, 89분, 독일",,"
                ,

,

,

,
            "
