item_img,item_title,item_price
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/5/7/3/5/8/0/WzNwR/2228573580_B.jpg,CORSAIR HYDRO SERIES H115i RGB Platinum 수냉쿨러,"211,700"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/17/3/6/3/3/2/6/dxwRD/1334363326_B.jpg,(정품) DEEPCOOL GAMMAXX 400 BLUE BASIC CPU쿨러,"29,780"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/17/1/3/3/7/5/4/TRgTX/1725133754_B.jpg,써멀구리스 서멀 구리스 CPU 쿨러 냉각 VGA 컴파운드,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/7/1/1/5/3/2/sutzh/2357711532_B.jpg,GIGABYTE Z390 AORUS ELITE 피씨디렉트,"231,210"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/7/7/8/2/1/8/itokM/1967778218_B.jpg,쿨러마스터 STANDARD i70C BLUE LED 인텔용 CPU쿨러,"17,550"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/17/7/8/3/8/5/0/rUJxp/1705783850_B.jpg,쿨러마스터 HYPER 212 LED Turbo RED 인텔 라이젠지원,"43,610"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/7/8/0/8/6/3/ufoHP/2349780863_B.jpg,[잘만] CNPS10X OPTIMA II CPU쿨러,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/7/0/4/2/7/5/rdANi/2314704275_B.jpg,ASUS EX A320M-GAMING STCOM 메인보드 (정품),"78,720"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/7/1/5/6/5/6/hfzRc/2314715656_B.jpg,ASUS PRIME B365M-A 코잇 인텔 커피레이크 메인보드 (정품),"102,120"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/8/5/4/5/4/9/FimjI/2245854549_B.jpg,써모랩 바다 BADA Cirrus CPU 쿨러,"35,100"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/4/6/7/1/8/7/zGacC/2205467187_B.jpg,(공식판매점) 쿨러마스터 HYPER 212 LED Turbo RED CPU쿨러 (정품),"43,610"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/3/6/0/0/6/0/YlJkz/2299360060_B.jpg,MSI A320M PRO-E,"67,020"
